No.,Party Code,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 1682,RV01635,SHRI LAXMI MUDRA MART,AR,5101,23/04/2026,3,4,Rolls,NIMBO,Spike,Green-Black,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,254,25 Apr 26,,Dispatched,4,,,
1683,RV01635,SHRI LAXMI MUDRA MART,AR,5101,23/04/2026,4,4,Rolls,NIMBO,Spike,P.Green,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,254,25 Apr 26,,Dispatched,4,,,
1684,RV01635,SHRI LAXMI MUDRA MART,AR,5101,23/04/2026,5,4,Rolls,NIMBO,Spike,Red,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,254,25 Apr 26,,Dispatched,4,,,
1685,RV01635,SHRI LAXMI MUDRA MART,AR,5101,23/04/2026,6,4,Turf,Kappa Turf,Turf,P.Green,2ft,15m,96.84,₹25.00,₹25.00,₹0,₹0,"₹9,684","₹11,427",yes,24/04/2026,,254,25 Apr 26,,Dispatched,4,,,
1686,TH0945,L.N CITY STORES,AR,5102,23/04/2026,1,2,Grass,25mm,Single Backing,Grass,4ft,25m,322.92,₹14.50,₹14.50,₹0,₹0,"₹9,365","₹9,833",yes,24/04/2026,,256,25 Apr 26,,Dispatched,4,,,
1687,TH0945,L.N CITY STORES,AR,5102,23/04/2026,2,1,Grass,25mm,Double Backing,Grass,2mtr,25m,538.2,₹17.00,₹17.00,₹0,₹0,"₹9,149","₹9,607",yes,24/04/2026,,256,25 Apr 26,,Dispatched,4,,,
1688,TH0945,L.N CITY STORES,AR,5102,23/04/2026,3,1,Grass,40mm,Double Backing,Grass,4ft,25m,322.92,₹24.00,₹24.00,₹0,₹0,"₹7,750","₹8,138",yes,24/04/2026,,256,25 Apr 26,,Dispatched,4,,,
1689,GL01141,RAJESH ENTERPRISES,AR,5103,23/04/2026,1,4,S-Mat,TEFNO - 400,S-Mat,Red,2ft,15m,98.45,₹25.00,₹25.00,₹200,₹0,"₹10,045","₹11,853",yes,,,241,24 Apr 26,,Dispatched,4,,,
1690,GL01141,RAJESH ENTERPRISES,AR,5103,23/04/2026,2,1,Rolls,NIMBO,Spike,Brown,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹2,284","₹2,695",,,,cancle,cancle,,Cancel,#VALUE!,,,
1691,YF01304,M/s Sardar Chappal Co.,AR,5104,23/04/2026,1,10,Rolls,NIMBO,Spike,White-Black,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹45,681","₹53,903",,,,cancle,cancle,,Cancel,#VALUE!,,,
1692,CY01817,MORADO INDIA,SK,5105,23/04/2026,1,2,S-Mat,TEFNO - 400,S-Mat,L.Grey,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1693,CY01817,MORADO INDIA,SK,5105,23/04/2026,2,2,S-Mat,TEFNO - 400,S-Mat,Dark-Grey,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1694,CY01817,MORADO INDIA,SK,5105,23/04/2026,3,1,S-Mat,TEFNO - 400,S-Mat,Blue,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹2,363","₹2,788",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1695,CY01817,MORADO INDIA,SK,5105,23/04/2026,4,1,S-Mat,TEFNO - 400,S-Mat,Red,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹2,363","₹2,788",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1696,CY01817,MORADO INDIA,SK,5105,23/04/2026,5,1,S-Mat,TEFNO - 400,S-Mat,P.Green,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹2,363","₹2,788",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1697,CY01817,MORADO INDIA,SK,5105,23/04/2026,6,1,S-Mat,TEFNO - 400,S-Mat,Black,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹2,363","₹2,788",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1698,CY01817,MORADO INDIA,SK,5105,23/04/2026,7,1,S-Mat,TEFNO - 400,S-Mat,Brown,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹2,363","₹2,788",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1699,CY01817,MORADO INDIA,SK,5105,23/04/2026,8,1,S-Mat,TEFNO - 400,S-Mat,Maroon,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹2,363","₹2,788",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1700,CY01817,MORADO INDIA,SK,5105,23/04/2026,9,2,S-Mat,TEFNO - 400,S-Mat,L.Grey,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹9,451","₹11,152",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1701,CY01817,MORADO INDIA,SK,5105,23/04/2026,10,2,S-Mat,TEFNO - 400,S-Mat,Dark-Grey,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹9,451","₹11,152",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1702,CY01817,MORADO INDIA,SK,5105,23/04/2026,11,1,S-Mat,TEFNO - 400,S-Mat,Blue,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1703,CY01817,MORADO INDIA,SK,5105,23/04/2026,12,1,S-Mat,TEFNO - 400,S-Mat,Red,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1704,CY01817,MORADO INDIA,SK,5105,23/04/2026,13,1,S-Mat,TEFNO - 400,S-Mat,P.Green,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1705,CY01817,MORADO INDIA,SK,5105,23/04/2026,14,1,S-Mat,TEFNO - 400,S-Mat,Black,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1706,CY01817,MORADO INDIA,SK,5105,23/04/2026,15,1,S-Mat,TEFNO - 400,S-Mat,Brown,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1707,CY01817,MORADO INDIA,SK,5105,23/04/2026,16,1,S-Mat,TEFNO - 400,S-Mat,Maroon,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1708,CY01817,MORADO INDIA,SK,5105,23/04/2026,17,30,Foot Mat,Printing,Printing,Mixed,16in,24in,1,₹175.00,₹175.00,₹0,₹0,"₹5,250","₹6,195",yes,24/04/2026,,250,24 Apr 26,,Dispatched,4,,,
1709,FU01,SUNNY SYNTHETIC,YA,5106,20/04/2026,1,2500,Foot Mat,WELCOME,Welcome,Double Mixed,38cm,58cm,1,₹57.50,₹57.50,₹0,₹0,"₹143,750","₹150,938",yes,20/04/2026,,229,23 Apr 26,,Dispatched,4,,,
1710,IH0572,S.K.JAIN COSMO E/P,SPM,5107,23/04/2026,1,4,Rolls,NIMBO,Spike,White-Black,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹18,902","₹22,305",yes,23/04/2026,,228,23 Apr 26,,Dispatched,4,,,
1711,IH0572,S.K.JAIN COSMO E/P,SPM,5107,23/04/2026,2,1,Rolls,NIMBO,Spike,Red-Black,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹4,726","₹5,576",yes,23/04/2026,,228,23 Apr 26,,Dispatched,4,,,
1712,IH0572,S.K.JAIN COSMO E/P,SPM,5107,23/04/2026,3,5,Rolls,NIMBO,Spike,Light Grey-Black,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹23,628","₹27,881",yes,23/04/2026,,228,23 Apr 26,,Dispatched,4,,,
1713,IH0572,S.K.JAIN COSMO E/P,SPM,5107,23/04/2026,4,5,Rolls,NIMBO,Spike,Beige-Brown,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹23,628","₹27,881",yes,23/04/2026,,228,23 Apr 26,,Dispatched,4,,,
1714,IH0572,S.K.JAIN COSMO E/P,SPM,5107,23/04/2026,5,15,Rolls,STRATO,Spike,Light Grey-Black,4ft,10m,131.26,₹42.00,₹42.00,₹0,₹0,"₹82,694","₹97,579",yes,23/04/2026,,235,24 Apr 26,,Dispatched,4,,,
1715,IH0572,S.K.JAIN COSMO E/P,SPM,5107,23/04/2026,6,10,Rolls,STRATO,Spike,Beige-Brown,4ft,10m,131.26,₹42.00,₹42.00,₹0,₹0,"₹55,129","₹65,052",yes,23/04/2026,,235,24 Apr 26,,Dispatched,4,,,
1716,EX01161,SHREE ENTERPRISES ( ULHASNAGAR ),AR,5108,22/04/2026,1,4,Rolls,STRATO,Spike,Light Grey-Black,4ft,10m,131.26,₹40.00,₹40.00,₹0,₹0,"₹21,002","₹24,782",yes,22/04/2026,,232,23 Apr 26,,Dispatched,4,,,
1717,EX01161,SHREE ENTERPRISES ( ULHASNAGAR ),AR,5108,23/04/2026,2,4,Rolls,STRATO,Spike,Beige-Brown,4ft,10m,131.26,₹40.00,₹40.00,₹0,₹0,"₹21,002","₹24,782",yes,22/04/2026,,232,23 Apr 26,,Dispatched,4,,,
1718,EX01161,SHREE ENTERPRISES ( ULHASNAGAR ),AR,5108,23/04/2026,3,1,Rolls,STRATO,Spike,Red-Black,4ft,10m,131.26,₹40.00,₹40.00,₹0,₹0,"₹5,250","₹6,195",yes,22/04/2026,,232,23 Apr 26,,Dispatched,4,,,
1719,EX01161,SHREE ENTERPRISES ( ULHASNAGAR ),AR,5108,23/04/2026,4,1,Rolls,STRATO,Spike,Green-Black,4ft,10m,131.26,₹40.00,₹40.00,₹0,₹0,"₹5,250","₹6,195",yes,22/04/2026,,232,23 Apr 26,,Dispatched,4,,,
1720,GL01141,RAJESH ENTERPRISES,AR,5109,23/04/2026,1,4,S-Mat,TEFNO - 400,S-Mat,Red,2ft,15m,98.45,₹25.00,₹25.00,₹200,₹0,"₹10,045","₹11,853",,,,cancle,cancle,,Cancel,#VALUE!,,,
1721,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,1,4,Rolls,NIMBO,Spike,P.Green,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1722,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,2,2,Rolls,NIMBO,Spike,Red,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1723,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,3,2,Rolls,NIMBO,Spike,Grey,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1724,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,4,2,Rolls,NIMBO,Spike,Black,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1725,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,5,1,Rolls,NIMBO,Spike,Brown,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹2,284","₹2,695",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1726,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,6,1,Rolls,NIMBO,Spike,Beige,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹2,284","₹2,695",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1727,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,7,2,Rolls,NIMBO,Spike,Beige-Brown,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1728,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,8,2,Rolls,NIMBO,Spike,White-Black,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1729,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,9,2,Rolls,NIMBO,Spike,Green-Black,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1730,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,10,2,Rolls,NIMBO,Spike,Red-Black,2ft,12m,78.76,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1731,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,11,2,Rolls,NIMBO,Spike,P.Green,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1732,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,12,2,Rolls,NIMBO,Spike,Black,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1733,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,13,2,Rolls,NIMBO,Spike,Beige-Brown,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹9,136","₹10,781",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1734,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,14,1,Rolls,NIMBO,Spike,Red-Black,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹4,568","₹5,390",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1735,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,15,1,Turf,Kappa Turf,Turf,P.Green,4ft,15m,193.68,₹24.00,₹24.00,₹0,₹0,"₹4,648","₹5,485",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1736,EN0915,S.G GLOBAL SOLUTIONS,AR,5110,23/04/2026,16,2,Turf,Kappa Turf,Turf,P.Green,2ft,15m,96.84,₹24.00,₹24.00,₹0,₹0,"₹4,648","₹5,485",yes,24/04/2026,,253,25 Apr 26,,Dispatched,4,,,
1737,,A1 ENTERPRISES,VS,5111,23/04/2026,1,20,S-Mat,TEFNO - 400,S-Mat,P.Green,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹94,512","₹111,524",,,,cancle,cancle,,Cancel,#VALUE!,,,
1738,,A1 ENTERPRISES,VS,5111,23/04/2026,2,10,S-Mat,TEFNO - 400,S-Mat,L.Grey,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹47,256","₹55,762",,,,cancle,cancle,,Cancel,#VALUE!,,,
1739,,A1 ENTERPRISES,VS,5111,23/04/2026,3,10,S-Mat,TEFNO - 400,S-Mat,Red,4ft,15m,196.9,₹24.00,₹24.00,₹0,₹0,"₹47,256","₹55,762",,,,cancle,cancle,,Cancel,#VALUE!,,,
1740,,A1 ENTERPRISES,VS,5111,23/04/2026,4,20,S-Mat,TEFNO - 400,S-Mat,P.Green,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹47,256","₹55,762",,,,cancle,cancle,,Cancel,#VALUE!,,,
1741,,A1 ENTERPRISES,VS,5111,23/04/2026,5,10,S-Mat,TEFNO - 400,S-Mat,L.Grey,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹23,628","₹27,881",,,,cancle,cancle,,Cancel,#VALUE!,,,
1742,,A1 ENTERPRISES,VS,5111,23/04/2026,6,10,S-Mat,TEFNO - 400,S-Mat,Red,2ft,15m,98.45,₹24.00,₹24.00,₹0,₹0,"₹23,628","₹27,881",,,,cancle,cancle,,Cancel,#VALUE!,,,
1743,,A1 ENTERPRISES,VS,5111,23/04/2026,7,20,Rolls,ALTO,Diamond,P.Green,4ft,15m,196.9,₹22.80,₹22.80,₹0,₹0,"₹89,786","₹105,948",,,,cancle,cancle,,Cancel,#VALUE!,,,
1744,,A1 ENTERPRISES,VS,5111,23/04/2026,8,10,Rolls,ALTO,Diamond,Grey,4ft,15m,196.9,₹22.80,₹22.80,₹0,₹0,"₹44,893","₹52,974",,,,cancle,cancle,,Cancel,#VALUE!,,,
1745,,A1 ENTERPRISES,VS,5111,23/04/2026,9,10,Rolls,ALTO,Diamond,Red,4ft,15m,196.9,₹22.80,₹22.80,₹0,₹0,"₹44,893","₹52,974",,,,cancle,cancle,,Cancel,#VALUE!,,,
1746,,A1 ENTERPRISES,VS,5111,23/04/2026,10,5,Rolls,ALTO,Diamond,Red-Black,4ft,15m,196.9,₹22.80,₹22.80,₹0,₹0,"₹22,447","₹26,487",,,,cancle,cancle,,Cancel,#VALUE!,,,
1747,,A1 ENTERPRISES,VS,5111,23/04/2026,11,5,Rolls,ALTO,Diamond,Green-Black,4ft,15m,196.9,₹22.80,₹22.80,₹0,₹0,"₹22,447","₹26,487",,,,cancle,cancle,,Cancel,#VALUE!,,,
1748,,A1 ENTERPRISES,VS,5111,23/04/2026,12,5,Rolls,ALTO,Diamond,Light Grey-Black,4ft,15m,196.9,₹22.80,₹22.80,₹0,₹0,"₹22,447","₹26,487",,,,cancle,cancle,,Cancel,#VALUE!,,,
1749,,A1 ENTERPRISES,VS,5111,23/04/2026,13,20,Rolls,ALTO,Diamond,P.Green,2ft,15m,98.45,₹22.80,₹22.80,₹0,₹0,"₹44,893","₹52,974",,,,cancle,cancle,,Cancel,#VALUE!,,,
1750,,A1 ENTERPRISES,VS,5111,23/04/2026,14,10,Rolls,ALTO,Diamond,Grey,2ft,15m,98.45,₹22.80,₹22.80,₹0,₹0,"₹22,447","₹26,487",,,,cancle,cancle,,Cancel,#VALUE!,,,
1751,,A1 ENTERPRISES,VS,5111,23/04/2026,15,10,Rolls,ALTO,Diamond,Red,2ft,15m,98.45,₹22.80,₹22.80,₹0,₹0,"₹22,447","₹26,487",,,,cancle,cancle,,Cancel,#VALUE!,,,
1752,,A1 ENTERPRISES,VS,5111,23/04/2026,16,5,Rolls,ALTO,Diamond,Red-Black,2ft,15m,98.45,₹22.80,₹22.80,₹0,₹0,"₹11,223","₹13,243",,,,cancle,cancle,,Cancel,#VALUE!,,,
1753,,A1 ENTERPRISES,VS,5111,23/04/2026,17,5,Rolls,ALTO,Diamond,Green-Black,2ft,15m,98.45,₹22.80,₹22.80,₹0,₹0,"₹11,223","₹13,243",,,,cancle,cancle,,Cancel,#VALUE!,,,
1754,,A1 ENTERPRISES,VS,5111,23/04/2026,18,5,Rolls,ALTO,Diamond,Light Grey-Black,2ft,15m,98.45,₹22.80,₹22.80,₹0,₹0,"₹11,223","₹13,243",,,,cancle,cancle,,Cancel,#VALUE!,,,
1755,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,1,1,Grass,35mm,Single Backing,Grass,2ft,25m,161.46,₹16.50,₹16.50,₹0,₹0,"₹2,664","₹2,797",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1756,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,2,1,Grass,35mm,Single Backing,Grass,4ft,25m,322.92,₹16.50,₹16.50,₹0,₹0,"₹5,328","₹5,595",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1757,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,3,1,Rolls,NIMBO,Spike,Black,4ft,12m,157.52,₹28.75,₹28.75,₹0,₹0,"₹4,529","₹5,344",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1758,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,4,1,Rolls,NIMBO,Spike,Red-Black,4ft,12m,157.52,₹28.75,₹28.75,₹0,₹0,"₹4,529","₹5,344",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1759,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,5,1,Rolls,NIMBO,Spike,Light Grey-Black,4ft,12m,157.52,₹28.75,₹28.75,₹0,₹0,"₹4,529","₹5,344",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1760,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,6,1,Rolls,NIMBO,Spike,P.Green,2ft,12m,78.76,₹28.75,₹28.75,₹0,₹0,"₹2,264","₹2,672",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1761,AK0977,SHAM EMPORIUM PVT LTD,YA,5112,23/04/2026,7,1,Rolls,NIMBO,Spike,Black,2ft,12m,78.76,₹28.75,₹28.75,₹0,₹0,"₹2,264","₹2,672",yes,24/04/2026,,236,24 Apr 26,,Dispatched,4,,,
1762,YD01018,MANGAL MURTI POLYMERS,AR,9717,22/04/2026,4,4,Rolls,NIMBO,Spike,Light Grey-Black,4ft,12m,157.52,₹32.70,₹0.00,₹0,"₹77,833",₹0,₹0,yes,22/04/2026,,Net,24 Apr 26,,Dispatched,4,,,
1763,RP01431,ANUKUL GHAR SAJAVAT,VS,5114,22/04/2026,1,1,Rolls,ALTO,Spike,P.Green,4ft,12m,157.52,₹27.00,₹27.00,₹0,₹0,"₹4,253","₹5,019",yes,24/04/2026,,243,24 Apr 26,,Dispatched,4,,,
1764,RP01431,ANUKUL GHAR SAJAVAT,VS,5114,22/04/2026,2,1,Rolls,ALTO,Spike,Grey,4ft,12m,157.52,₹27.00,₹27.00,₹0,₹0,"₹4,253","₹5,019",yes,24/04/2026,,243,24 Apr 26,,Dispatched,4,,,
1765,RP01431,ANUKUL GHAR SAJAVAT,VS,5114,22/04/2026,3,1,Turf,Kappa Turf,Turf,Grey,4ft,15m,193.68,₹25.00,₹25.00,₹0,₹0,"₹4,842","₹5,714",yes,24/04/2026,,243,24 Apr 26,,Dispatched,4,,,
1766,OG01537,NARMADA TRADERS,AR,5115,23/04/2026,1,3,Rolls,NIMBO,Spike,P.Green,4ft,12m,157.52,₹29.00,₹29.00,₹200,₹0,"₹13,904","₹16,407",yes,24/04/2026,,261,25 Apr 26,,Dispatched,4,,,
1767,OG01537,NARMADA TRADERS,AR,5115,23/04/2026,2,3,Rolls,NIMBO,Spike,Black,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹13,704","₹16,171",yes,24/04/2026,,261,25 Apr 26,,Dispatched,4,,,
1768,OG01537,NARMADA TRADERS,AR,5115,23/04/2026,3,4,Rolls,NIMBO,Spike,White-Black,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹18,272","₹21,561",yes,24/04/2026,,261,25 Apr 26,,Dispatched,4,,,
1769,OG01537,NARMADA TRADERS,AR,5115,23/04/2026,4,3,Rolls,NIMBO,Spike,Beige-Brown,4ft,12m,157.52,₹29.00,₹29.00,₹0,₹0,"₹13,704","₹16,171",yes,24/04/2026,,261,25 Apr 26,,Dispatched,4,,,
1770,OG01537,NARMADA TRADERS,AR,5115,23/04/2026,5,2,Turf,Kappa Turf,Turf,P.Green,4ft,15m,193.68,₹24.00,₹24.00,₹0,₹0,"₹9,297","₹10,970",yes,24/04/2026,,261,25 Apr 26,,Dispatched,4,,,
1771,TI01487,RAMA AGENCIES (Ent),VS,5116,23/04/2026,1,1,Rolls,NIMBO,Spike,P.Green,4ft,12m,157.52,₹30.00,₹30.00,₹0,₹0,"₹4,726","₹5,576",yes,24/04/2026,,246,24 Apr 26,,Dispatched,4,,,
1772,TI01487,RAMA AGENCIES (Ent),VS,5116,23/04/2026,2,1,S-Mat,TEFNO - 900,S-Mat,Grey,4ft,10m,131.26,₹66.00,₹66.00,₹0,₹0,"₹8,663","₹10,223",yes,24/04/2026,,246,24 Apr 26,,Dispatched,4,,,
1773,TC0109,RASHMI HANDLOOM ,AR,5117,24/04/2026,1,100,Foot Mat,NIMBO,Spike,Green-Blue,12in,18in,1,₹45.00,₹45.00,₹200,₹0,"₹4,700","₹5,546",yes,27/04/2026,,281,28 Apr 26,,Dispatched,4,,,
1774,TC0109,RASHMI HANDLOOM ,AR,5117,24/04/2026,2,100,Foot Mat,NIMBO,Spike,Red-Blue,12in,18in,1,₹45.00,₹45.00,₹0,₹0,"₹4,500","₹5,310",yes,27/04/2026,,281,28 Apr 26,,Dispatched,4,,,
